name,url,cuisine,price_for_two,area,distance
Koconut Tree Bar & Kitchen,https://www.zomato.com/pune/koconut-tree-bar-kitchen-magarpatta/info,"Andhra, Mangalorean, Seafood, Biryani, Chinese, Kebab, Desserts, Pizza","₹1,000 for two","Magarpatta, Pune",7.9 km
Coco Rico Smoke - Bar - Kitchen,https://www.zomato.com/pune/coco-rico-smoke-bar-kitchen-bhugaon/info,"North Indian, Italian, Continental, Asian, Pizza, Oriental, Chinese, Biryani","₹1,200 for two","Bhugaon, Pune",10.4 km
Glint By Plunge,https://www.zomato.com/pune/glint-by-plunge-koregaon-park/info,"Chinese, Asian, Mexican, Sandwich, Burger, Pizza, Pasta, Desserts","₹2,500 for two","Koregaon Park, Pune",3.7 km
Babylon Craft Brewery,https://www.zomato.com/pune/babylon-craft-brewery-erandwane/info,"North Indian, Chinese, Continental, Mughlai, Fast Food, Desserts, Beverages","₹1,400 for two","Erandwane, Pune",3.1 km
SKARA,https://www.zomato.com/pune/skara-1-sinhgad-road/info,"Continental, North Indian, Chinese","₹1,500 for two","Sinhgad Road, Pune",7.5 km
River Deck Cafe By Prana Resorts,https://www.zomato.com/pune/river-deck-cafe-by-prana-resorts-ravet/info,"Continental, Oriental","₹1,800 for two","Ravet, Pune",19 km
Cafe Paashh,https://www.zomato.com/pune/cafe-paashh-kalyani-nagar/info,"Cafe, Beverages","₹1,800 for two","Kalyani Nagar, Pune",5.5 km
Zeta - Hyatt Regency Pune,https://www.zomato.com/pune/zeta-hyatt-regency-pune-viman-nagar/info,"Continental, Italian, Seafood, Coffee, Tea, Desserts, Beverages","₹3,000 for two","Viman Nagar, Pune",7.3 km
The Flour Works,https://www.zomato.com/pune/the-flour-works-kalyani-nagar/info,"European, Italian, Healthy Food, Salad, Sandwich, Pizza, Desserts, Beverages","₹1,800 for two","Kalyani Nagar, Pune",5.7 km
Chafa Cafe And Studio,https://www.zomato.com/pune/chafa-cafe-and-studio-salunkhe-vihar-road/info,"Healthy Food, Italian, Continental, Salad, Asian, Cafe, Coffee, Sandwich","₹1,400 for two","Salunkhe Vihar Road, Pune",6.6 km
Skylo 9,https://www.zomato.com/pune/skylo-9-pimple-nilakh/info,"North Indian, Continental, Italian, Chettinad, Bar Food, Seafood, Desserts, Beverages","₹1,300 for two","Pimple Nilakh, Pune",11.6 km
Bacharika- Rooftop Bar And Kitchen,https://www.zomato.com/pune/bacharika-rooftop-bar-and-kitchen-kothrud/info,"North Indian, Continental, Chinese, Middle Eastern, European, Fast Food, Desserts, Beverages","₹1,900 for two","Kothrud, Pune",4.6 km
Ora Skybar & Kitchen,https://www.zomato.com/pune/ora-skybar-kitchen-wakad/info,"North Indian, BBQ, Chinese, Continental, Asian, Pizza, Beverages","₹1,800 for two","Wakad, Pune",13.5 km
Trillion Restaurant And Bar,https://www.zomato.com/pune/trillion-restaurant-and-bar-kharadi/info,"Chinese, Bar Food, Salad","₹1,000 for two","Kharadi, Pune",10.6 km
Cafe Ekaant,https://www.zomato.com/pune/cafe-ekaant-kalyani-nagar/info,"Cafe, Coffee, Fast Food, Pizza, Burger, Desserts, Juices, Beverages","₹1,000 for two","Kalyani Nagar, Pune",6 km
Cafe Blu by Radisson Blu Hinjewadi,https://www.zomato.com/pune/cafe-blu-by-radisson-blu-hinjewadi-hinjawadi/info,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts","₹2,900 for two","Hinjawadi, Pune",14.3 km
The Soundtrack Cafe,https://www.zomato.com/pune/the-soundtrack-cafe-pimple-nilakh/info,"Cafe, Coffee, Beverages, Continental, Italian, Fast Food","₹1,000 for two","Pimple Nilakh, Pune",10.3 km
Coco Cafe,https://www.zomato.com/pune/coco-cafe-viman-nagar/info,"Cafe, Coffee, Italian, Sandwich, Fast Food, Shake, Beverages, Desserts","₹1,200 for two","Viman Nagar, Pune",7.8 km
The Market - The Westin Pune,https://www.zomato.com/pune/the-market-the-westin-pune-mundhwa/info,"North Indian, European, Asian, Desserts","₹4,000 for two","Mundhwa, Pune",5.6 km
Hippie @ Heart,https://www.zomato.com/pune/hippie-@-heart-kothrud/info,"Continental, European, Italian, Desserts",₹950 for two,"Kothrud, Pune",4.1 km
Darshan,https://www.zomato.com/pune/darshan-baner/info,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages",₹950 for two,"Baner, Pune",10.9 km
Urbo,https://www.zomato.com/pune/urbo-baner/info,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts","₹2,000 for two","Baner, Pune",9.6 km
Kiko - Bar & Grill,https://www.zomato.com/pune/kiko-bar-grill-akurdi/info,"Thai, Chinese, Fast Food, Seafood, Desserts, Beverages","₹1,500 for two","Akurdi, Pune",16.5 km
Crazanto,https://www.zomato.com/pune/crazanto-viman-nagar/info,"North Indian, Continental, Italian, Desserts, Asian, Beverages",₹450 for two,"Viman Nagar, Pune
Closes in 7 minutes",8.2 km
Three Kitchens Restaurant And Bar: The Ritz-Carlton,https://www.zomato.com/pune/three-kitchens-restaurant-and-bar-the-ritz-carlton-yerawada/info,"North Indian, Biryani, Continental, Italian, Pizza, Fast Food, Desserts, Beverages","₹4,700 for two","Yerawada, Pune",5.1 km
Madéline,https://www.zomato.com/pune/mad%C3%A9line-kothrud/info,Bakery,"₹1,200 for two","Kothrud, Pune",4.2 km
The Green Spoon,https://www.zomato.com/pune/the-green-spoon-baner/info,"North Indian, Chinese, Pizza","₹1,000 for two","Baner, Pune",9.9 km
Shivlingam,https://www.zomato.com/pune/shivlingam-lavale/info,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream","₹1,800 for two","Lavale, Pune
Closes in 7 minutes",13.2 km
Opel Kitchen Bar,https://www.zomato.com/pune/opel-kitchen-bar-wakad/info,"North Indian, Bar Food, Continental, Italian, Beverages","₹1,800 for two","Wakad, Pune",13.5 km
Downtown Club,https://www.zomato.com/pune/downtown-club-hinjawadi/info,"Italian, American, Asian, Chinese, Mexican, Modern Indian, North Indian, Beverages","₹4,000 for two","Hinjawadi, Pune",16.1 km
Two Sticks,https://www.zomato.com/pune/two-sticks-baner/info,"Chinese, Asian, Sushi","₹1,000 for two","Baner, Pune",9.3 km
Al Di La - Conrad Pune,https://www.zomato.com/pune/al-di-la-conrad-pune-bund-garden/info,"Italian, Bar Food, Desserts, Beverages","₹5,500 for two","Bund Garden Road, Pune
Opens at 5pm",3.3 km
Bird Valley,https://www.zomato.com/pune/bird-valley-wakad/info,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Beverages","₹1,800 for two","Wakad, Pune",12.8 km
Qala Cafe & Co - Works,https://www.zomato.com/pune/qala-cafe-co-works-baner/info,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages","₹1,000 for two","Baner, Pune",9.6 km
Zyzzyva,https://www.zomato.com/pune/zyzzyva-magarpatta/info,"North Indian, Continental, Biryani, Italian, Desserts","₹1,200 for two","Magarpatta, Pune",7 km
Bramble,https://www.zomato.com/pune/bramble-1-hadapsar/info,"Modern Indian, Desserts, Continental, Mediterranean, Pizza, Salad, Thai, Afghan","₹1,000 for two","Hadapsar, Pune",8.2 km
Good News Dhaba,https://www.zomato.com/pune/good-news-dhaba-yerawada/info,"North Indian, Mughlai, Seafood, Biryani, Desserts, Beverages","₹1,600 for two","Yerawada, Pune",5.6 km
Asilo - The Westin Pune,https://www.zomato.com/pune/asilo-the-westin-pune-mundhwa/info,"Mediterranean, Asian, Beverages","₹3,500 for two","Mundhwa, Pune
Opens at 5pm",5.6 km
Laa Unico,https://www.zomato.com/pune/laa-unico-swargate/info,"Italian, Mexican, Continental, North Indian, Chinese, Pizza, Salad, Desserts","₹1,800 for two","Swargate, Pune",2.6 km
The Curry Club,https://www.zomato.com/pune/the-curry-club-1-hinjawadi/info,"North Indian, Maharashtrian, South Indian","₹1,200 for two","Hinjawadi, Pune
Closes in 37 minutes",15.1 km
Smoor,https://www.zomato.com/pune/smoor-viman-nagar/info,"Desserts, Bakery, Beverages",₹700 for two,"Viman Nagar, Pune",7.8 km
The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-nibm-road/info,"North Indian, Modern Indian, Desserts","₹1,800 for two","NIBM Road, Pune",7.3 km
The Paraiso,https://www.zomato.com/pune/the-paraiso-hinjawadi/info,"Continental, Chinese, North Indian, Fast Food, Alcoholic Beverages, BBQ, Desserts, Beverages","₹1,500 for two","Hinjawadi, Pune",14.1 km
Mr And Mrs Idly,https://www.zomato.com/pune/mr-and-mrs-idly-pimple-saudagar/info,South Indian,₹350 for two,"Pimple Saudagar, Pune",10.1 km
Filament Bar,https://www.zomato.com/pune/filament-bar-wakad/info,"Turkish, Middle Eastern, North Indian, Continental, Asian","₹1,800 for two","Wakad, Pune",12.1 km
Chirp,https://www.zomato.com/pune/chirp-shivaji-nagar/info,"Beverages, Asian, Continental, Healthy Food, Mexican, Middle Eastern",₹950 for two,"Shivaji Nagar, Pune",1.4 km
Burger King,https://www.zomato.com/pune/burger-king-1-hadapsar/info,"Burger, Fast Food, Beverages",₹350 for two,"Hadapsar, Pune",5.5 km
Mezza 9,https://www.zomato.com/pune/mezza--hinjawadi/info,"North Indian, Biryani, Asian, Continental, Mexican, Oriental, Seafood, Desserts","₹2,000 for two","Hinjawadi, Pune",15.3 km
Green Park,https://www.zomato.com/pune/green-park-baner/info,"North Indian, Chinese, Mughlai, Thai, Continental, Mexican, Desserts, Beverages","₹1,700 for two","Baner, Pune",6.5 km
Level 5 Bistro and Bar,https://www.zomato.com/pune/level-5-bistro-and-bar-erandwane/info,"North Indian, Asian, Continental, Middle Eastern, Mexican, Desserts, Beverages","₹1,900 for two","Erandwane, Pune",3.1 km
Sukanta,https://www.zomato.com/pune/sukanta-deccan-gymkhana/info,"North Indian, Gujarati, Maharashtrian, Street Food, Desserts, Beverages","₹1,000 for two","Deccan Gymkhana, Pune
Closes in 7 minutes",1.4 km
Bai Mu Dan,https://www.zomato.com/pune/bai-mu-dan-koregaon-park/info,"Cafe, Coffee, Tea, Healthy Food, Beverages",₹950 for two,"Koregaon Park, Pune",3.9 km
Toss Pizzeria,https://www.zomato.com/pune/toss-pizzeria-bibvewadi/info,"Pizza, Italian, Beverages, Cafe, Coffee, Fast Food",₹900 for two,"Bibvewadi, Pune",5 km
Manbhavan Premium Thali Restaurant,https://www.zomato.com/pune/manbhavan-premium-thali-restaurant-magarpatta/info,"Maharashtrian, North Indian",₹500 for two,"Magarpatta, Pune
Closes in 7 minutes",7.9 km
High Spirits,https://www.zomato.com/pune/high-spirits-mundhwa/info,"North Indian, Continental, Italian, Pasta, Pizza","₹2,000 for two","Mundhwa, Pune",5.5 km
11 East Street Cafe,https://www.zomato.com/pune/11-east-street-cafe-east-street/info,"Continental, North Indian, Chinese, Bar Food, Pizza, Sandwich, Desserts, Biryani","₹1,900 for two","East Street, Pune",2.6 km
Nilgiri All Day Dining & Cafe,https://www.zomato.com/pune/nilgiri-all-day-dining-cafe-baner/info,"Burger, Street Food, Beverages, Cafe, Cuisine Varies, Pizza","₹1,000 for two","Baner, Pune",8.9 km
Bao Story,https://www.zomato.com/pune/bao-story-1-hinjawadi/info,Asian,"₹1,200 for two","Hinjawadi, Pune",14.1 km
Game On Sports Kitchen & Bar,https://www.zomato.com/pune/game-on-sports-kitchen-bar-chinchwad/info,"Continental, North Indian, Chinese, Pizza","₹1,400 for two","Chinchwad, Pune",14.3 km
We Idliwale Barroom,https://www.zomato.com/pune/we-idliwale-barroom-balewadi/info,"South Indian, Biryani, Desserts","₹1,500 for two","Balewadi, Pune",9.9 km
Immortals Lounge Resto And Bar,https://www.zomato.com/pune/immortals-lounge-resto-and-bar-kharadi/info,"North Indian, Italian, Chinese, American, Beverages, Alcoholic Beverages, Desserts","₹1,000 for two","Kharadi, Pune",11.2 km
Hidden Place - The Hang-out,https://www.zomato.com/pune/hidden-place-the-hang-out-balewadi/info,"Fast Food, Pizza, Continental, Bar Food, Beverages","₹1,200 for two","Balewadi, Pune",10.4 km
Savya Rasa,https://www.zomato.com/pune/savya-rasa-koregaon-park/info,"South Indian, Mangalorean, Kerala, Chettinad, Biryani, Desserts, Beverages","₹2,500 for two","Koregaon Park, Pune
Opens at 7pm",3.8 km
Asia Kitchen By Mainland China,https://www.zomato.com/pune/asia-kitchen-by-mainland-china-wakad/info,"Asian, Chinese, Sushi, Thai, Japanese, Beverages","₹1,500 for two","Wakad, Pune
Closes in 7 minutes",13.6 km
Burger Craft,https://www.zomato.com/pune/burger-craft-aundh/info,"Burger, Fast Food, Desserts, Beverages",₹850 for two,"Aundh, Pune",7 km
Funny Cat Pune,https://www.zomato.com/pune/funny-cat-pune-fc-road/info,"Bar Food, Italian, Asian, Continental, Desserts, Beverages, Fast Food, Burger","₹1,500 for two","FC Road, Pune",1.4 km
Huber & Holly,https://www.zomato.com/pune/huber-holly-koregaon-park/info,"Desserts, Ice Cream, Shake, Coffee, Pasta, Sandwich, Pizza, Cake",₹800 for two,"Koregaon Park, Pune",4.8 km
Tsuki,https://www.zomato.com/pune/tsuki-koregaon-park/info,"Thai, Cantonese, Japanese, Sushi, Rolls, Desserts","₹2,500 for two","Koregaon Park, Pune
Opens at 7pm",4.8 km
The 1st Brewhouse - The Corinthians,https://www.zomato.com/pune/the-1st-brewhouse-the-corinthians-nibm-road/info,"Finger Food, North Indian, Fast Food, Beverages","₹2,500 for two","NIBM Road, Pune",9.2 km
Naadbramha Idli,https://www.zomato.com/pune/naadbramha-idli-bavdhan/info,"South Indian, Beverages",₹150 for two,"Bavdhan, Pune",7.9 km
C - Dock,https://www.zomato.com/pune/c-dock-hinjawadi/info,Bar Food,"₹1,500 for two","Hinjawadi, Pune",14.5 km
Melange Kitchen,https://www.zomato.com/pune/melange-kitchen-kharadi/info,"North Indian, Italian, Mexican, Arabian, Continental, Desserts, Beverages","₹1,200 for two","Kharadi, Pune",11.8 km
Sheri,https://www.zomato.com/pune/sheri-mundhwa/info,"Continental, North Indian, Italian, Asian, Thai, Chinese, Biryani, Desserts","₹1,700 for two","Mundhwa, Pune",10.3 km
The Wise Guys,https://www.zomato.com/pune/the-wise-guys-wakad/info,"North Indian, Chinese, Pasta, Fast Food, Bar Food, Desserts, Shake, Beverages","₹1,700 for two","Wakad, Pune
Opens in 7 minutes",14.5 km
Forest Farmer Coffee Roasters,https://www.zomato.com/pune/forest-farmer-coffee-roasters-2-senapati-bapat-road/info,"Coffee, Fast Food","₹1,100 for two","Senapati Bapat Road, Pune",3.4 km
Cha Hong Kong Eating House,https://www.zomato.com/pune/cha-hong-kong-eating-house-viman-nagar/info,"Chinese, Sushi, Japanese, Asian, Desserts, Beverages","₹1,400 for two","Viman Nagar, Pune",7.9 km
Yummy In Tummy,https://www.zomato.com/pune/yummy-in-tummy-hinjawadi/info,"North Indian, Nepalese, Momos, Fast Food, Beverages",₹200 for two,"Hinjawadi, Pune",15.6 km
Aroma's Hyderabad House,https://www.zomato.com/pune/aromas-hyderabad-house-1-hinjawadi/info,"Biryani, Kebab, North Indian, Mughlai, Seafood, Chinese, Beverages","₹1,300 for two","Hinjawadi, Pune
Closes in 37 minutes",15.2 km
Durvankur,https://www.zomato.com/pune/durvankur-sadashiv-peth/info,Maharashtrian,₹750 for two,"Sadashiv Peth, Pune
Closes in 7 minutes",1.6 km
Hotel Silver Seven,https://www.zomato.com/pune/hotel-silver-seven-akurdi/info,"Chinese, Seafood, Kebab, Asian, North Indian, Biryani, Desserts, Beverages",₹850 for two,"Akurdi, Pune",17 km
Utopia,https://www.zomato.com/pune/utopia-lonavala/info,"Mughlai, North Indian, Asian, Continental, Oriental, Biryani, Desserts","₹1,200 for two","Lonavala, Pune
Closes in 37 minutes",54.4 km
The Secret Garden,https://www.zomato.com/pune/the-secret-garden-baner/info,"Italian, Korean","₹1,000 for two","Baner, Pune",10.3 km
Ginkgo,https://www.zomato.com/pune/ginkgo-kothrud/info,"Sushi, Japanese",₹950 for two,"Kothrud, Pune
Closes in 7 minutes",5 km
Feast India Company,https://www.zomato.com/pune/feast-india-company-baner/info,"Chinese, Oriental, North Indian, Seafood, Kebab, Desserts, Beverages","₹1,400 for two","Baner, Pune
Closes in 37 minutes",10.5 km
Xero Degrees,https://www.zomato.com/pune/xero-degrees-deccan-gymkhana/info,"Cafe, Fast Food, Salad, Pizza, Burger, Waffle, Shake, Beverages",₹800 for two,"Deccan Gymkhana, Pune",1.8 km
The 3 Musketeers Pub,https://www.zomato.com/pune/the-3-musketeers-pub-viman-nagar/info,"North Indian, Continental, Oriental, Pasta","₹1,600 for two","Viman Nagar, Pune",7.8 km
Karim's - Original from Jama Masjid Delhi-6,https://www.zomato.com/pune/karims-original-from-jama-masjid-delhi-6-1-camp-area/info,"Mughlai, Rolls","₹1,000 for two","Camp Area, Pune
Closes in 52 minutes",2.2 km
House Of Veg,https://www.zomato.com/pune/house-of-veg-1-erandwane/info,"North Indian, Oriental, Continental, Pasta, Pizza, Sandwich, Desserts, Shake","₹1,000 for two","Erandwane, Pune
Closes in 22 minutes",3.4 km
The Chandralok Bar and Kitchen,https://www.zomato.com/pune/the-chandralok-bar-and-kitchen-karve-nagar/info,"North Indian, Chinese, Mughlai, Pizza, Beverages","₹1,400 for two","Karve Nagar, Pune",5 km
Intactu Lounge,https://www.zomato.com/pune/intactu-lounge-hinjawadi/info,"North Indian, Continental, European","₹1,000 for two","Hinjawadi, Pune",16.8 km
Taste Hackers,https://www.zomato.com/pune/taste-hackers-aundh/info,"Chinese, Korean, Asian, Japanese, Italian",₹400 for two,"Aundh, Pune",7.7 km
THE PLACE BREW - N - BITES,https://www.zomato.com/pune/the-place-brew-n-bites-balewadi/info,"Cafe, Coffee, Lebanese, Continental, Italian, Fast Food, Desserts, Beverages","₹1,300 for two","Balewadi, Pune",10.7 km
Scout Lounge,https://www.zomato.com/pune/scout-lounge-1-ravet/info,"North Indian, Mughlai, Biryani, Continental, Oriental, Steak, Chinese, Italian","₹1,200 for two","Ravet, Pune",18.1 km
Kleeo,https://www.zomato.com/pune/kleeo-baner/info,"Fast Food, North Indian","₹1,200 for two","Baner, Pune",8.7 km
Where Else Diner,https://www.zomato.com/pune/where-else-diner-viman-nagar/info,"Cafe, Continental, American, Parsi, Salad, Burger, Beverages",₹950 for two,"Viman Nagar, Pune",8.1 km
Butter Brews Bistro,https://www.zomato.com/pune/butter-brews-bistro-model-colony/info,"Cafe, Coffee, Continental, Salad, Sandwich, Pasta, Desserts, Beverages","₹1,100 for two","Model Colony, Pune",2.7 km
BNTR,https://www.zomato.com/pune/bntr-koregaon-park/info,"Bar Food, Fast Food","₹1,500 for two","Koregaon Park, Pune
Opens at 5pm",4.7 km
Grove Pizzeria,https://www.zomato.com/pune/grove-pizzeria-baner/info,Pizza,₹400 for two,"Baner, Pune",9.7 km
Boba Bao & Co.,https://www.zomato.com/pune/boba-bao-co-viman-nagar/info,"Korean, Chinese, Fast Food",₹350 for two,"Viman Nagar, Pune
Opens in 7 minutes",7.7 km
Fat Choy Oriental Kitchen,https://www.zomato.com/pune/fat-choy-oriental-kitchen-kharadi/info,"Asian, Sushi, Chinese, Cantonese, Seafood, Desserts","₹1,400 for two","Kharadi, Pune
Closes in 7 minutes",10.9 km
Kulcha Kulture,https://www.zomato.com/pune/kulcha-kulture-bibvewadi/info,"North Indian, Sandwich, Fast Food, Street Food, Shake, Beverages",₹500 for two,"Bibvewadi, Pune",5.1 km
Quattro Bistro,https://www.zomato.com/pune/quattro-bistro-lonavala/info,"Mexican, Pizza, Fast Food, Desserts, Italian","₹1,500 for two","Lonavala, Pune",54.3 km
Lune Cafe And Patisserie,https://www.zomato.com/pune/lune-cafe-and-patisserie-koregaon-park/info,"Cafe, Coffee, Sandwich, Fast Food, Desserts",₹500 for two,"Koregaon Park, Pune",4.9 km
Rhythm Rooftop Kitchen & Bar,https://www.zomato.com/pune/rhythm-rooftop-kitchen-bar-pimple-saudagar/info,"North Indian, Continental, Oriental, Chinese, Fast Food, Biryani","₹1,400 for two","Pimple Saudagar, Pune",11.1 km
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",https://www.zomato.com/pune/frozen-bottle-milkshakes-desserts-and-ice-cream-pimple-saudagar/info,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",₹300 for two,"Pimple Saudagar, Pune",10 km
Atithi Veg,https://www.zomato.com/pune/atithi-veg-sinhgad-road/info,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages","₹1,000 for two","Sinhgad Road, Pune",6.6 km
Sahara - A Magical dining destination,https://www.zomato.com/pune/sahara-a-magical-dining-destination-wakad/info,North Indian,"₹1,800 for two","Wakad, Pune",12.1 km
Hotel Sandeep,https://www.zomato.com/pune/hotel-sandeep-jm-road/info,"Maharashtrian, North Indian, Chinese, Mughlai","₹1,400 for two","JM Road, Pune",1000 m
TRP - The Rooftop Project,https://www.zomato.com/pune/trp-the-rooftop-project-mg-road/info,"North Indian, Asian, Italian, Chinese, Seafood, Biryani, Salad, Desserts","₹1,400 for two","MG Road, Pune",2.4 km
Buon Cibo- The Italian Cafe,https://www.zomato.com/pune/buon-cibo-the-italian-cafe-baner/info,"Mexican, Italian, Continental, Pizza, Pasta",₹850 for two,"Baner, Pune",9.9 km
Nusara,https://www.zomato.com/pune/nusara-shivaji-nagar/info,"Asian, Sushi, Pizza, Rolls, Chinese, Seafood, Desserts, Salad","₹1,800 for two","Shivaji Nagar, Pune",1.4 km
Global Punjab,https://www.zomato.com/pune/global-punjab-wakad/info,"North Indian, Mughlai, Kebab, Seafood, Biryani, Chinese, Desserts, Beverages","₹1,100 for two","Wakad, Pune
Closes in 7 minutes",12.4 km
Aromas Cafe & Bistro,https://www.zomato.com/pune/aromas-cafe-bistro-baner/info,"Cafe, Coffee, Tea, Shake, Lebanese, Italian, Mexican, Desserts","₹1,000 for two","Baner, Pune",7.1 km
Fulfil,https://www.zomato.com/pune/fulfil-kalyani-nagar/info,"Continental, Italian, North Indian, Desserts, Bakery, Beverages","₹1,300 for two","Kalyani Nagar, Pune",6 km
Murphies - Bistro & Bar,https://www.zomato.com/pune/murphies-bistro-bar-nibm-road/info,"European, Continental, Asian, Bakery, Pasta, Coffee, Desserts, Salad","₹1,200 for two","NIBM Road, Pune",7.3 km
18 Degrees Resto Lounge,https://www.zomato.com/pune/18-degrees-resto-lounge-pimple-saudagar/info,"North Indian, Pizza, Mughlai, Beverages, Desserts, Chinese","₹2,500 for two","Pimple Saudagar, Pune",11 km
I'M Lion,https://www.zomato.com/pune/im-lion-mahalunge/info,"Seafood, Maharashtrian","₹2,000 for two","Mahalunge, Pune",10.9 km
Tasteler Cafe,https://www.zomato.com/pune/tasteler-cafe-1-hadapsar/info,"Momos, Sandwich, Beverages",₹350 for two,"Hadapsar, Pune",7.8 km
Savannah,https://www.zomato.com/pune/savannah-shivaji-nagar/info,"Continental, Beverages, Sandwich, Pizza, Pasta, Desserts","₹1,000 for two","Shivaji Nagar, Pune",1.5 km
AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-1-viman-nagar/info,"North Indian, BBQ, Biryani","₹1,650 for two","Viman Nagar, Pune
Closes in 1 hour 7 minutes",8.1 km
The Sky Kitchen & Banquets,https://www.zomato.com/pune/the-sky-kitchen-banquets-sinhgad-road/info,"North Indian, European, Continental, Beverages, Desserts","₹1,200 for two","Sinhgad Road, Pune",5.2 km
Ghevar Thali,https://www.zomato.com/pune/ghevar-thali-katraj/info,Rajasthani,₹500 for two,"Katraj, Pune
Closes in 7 minutes",7.6 km
Blue Tokai Coffee Roasters,https://www.zomato.com/pune/blue-tokai-coffee-roasters-koregaon-park/info,"Cafe, Coffee, Beverages",₹600 for two,"Koregaon Park, Pune",4.7 km
Baraza Bars & Bites,https://www.zomato.com/pune/baraza-bars-bites-yerawada/info,"Bar Food, Kebab, North Indian, Biryani, Asian, Continental, Beverages","₹1,500 for two","Yerawada, Pune",5.6 km
Zorko - Brand Of Food Lovers,https://www.zomato.com/pune/zorko-brand-of-food-lovers-1-shivaji-nagar/info,"Pizza, Pasta, Burger, Sandwich, Momos, Fast Food, Shake, Beverages",₹350 for two,"Shivaji Nagar, Pune",959 m
The Gazebo World Of Veg,https://www.zomato.com/pune/the-gazebo-world-of-veg-1-wakad/info,"North Indian, Continental, Mexican, Thai, Oriental, Italian, Desserts, Beverages",₹800 for two,"Wakad, Pune",12.3 km
Govind Garden,https://www.zomato.com/pune/govind-garden-pimple-saudagar/info,"North Indian, Chinese, Seafood, Continental, Kebab, Biryani, Mughlai, Desserts","₹1,200 for two","Pimple Saudagar, Pune",10.2 km
Dal Baati & Co.,https://www.zomato.com/pune/dal-baati-co-koregaon-park/info,"Rajasthani, Desserts, Beverages","₹1,700 for two","Koregaon Park, Pune
Closes in 37 minutes",4.3 km
Abhishek Veg Restaurant,https://www.zomato.com/pune/abhishek-veg-restaurant-erandwane/info,"North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts, Beverages, Juices","₹1,200 for two","Erandwane, Pune",3.3 km
Nagpal's Chole Bhature,https://www.zomato.com/pune/nagpals-chole-bhature-nigdi/info,"North Indian, Beverages",₹450 for two,"Nigdi, Pune",17.7 km
NIPR Bar,https://www.zomato.com/pune/nipr-bar-kothrud/info,"Bar Food, North Indian, Mughlai, Chinese, Maharashtrian, Seafood, Biryani, Desserts","₹1,400 for two","Kothrud, Pune",4.6 km
Bhairavee Pure Veg Restaurant,https://www.zomato.com/pune/bhairavee-pure-veg-restaurant-baner/info,"North Indian, Chinese, Biryani","₹1,600 for two","Baner, Pune",6.6 km
Aromas Cafe & Bistro,https://www.zomato.com/pune/aromas-cafe-bistro-wakad/info,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts","₹1,000 for two","Wakad, Pune",13.6 km
Cloud 99,https://www.zomato.com/pune/cloud-99-hinjawadi/info,"North Indian, Mughlai, Seafood, Italian, Japanese, Chinese, Salad, Desserts","₹1,200 for two","Hinjawadi, Pune",15.3 km
360 Degree - The Rooftop Restaurant & Bar,https://www.zomato.com/pune/360-degree-the-rooftop-restaurant-bar-jm-road/info,"Beverages, Chinese, North Indian","₹1,400 for two","JM Road, Pune",1.4 km
Banana Leaf,https://www.zomato.com/pune/banana-leaf-kalyani-nagar/info,"South Indian, North Indian, Healthy Food, Street Food, Desserts, Beverages","₹1,400 for two","Kalyani Nagar, Pune",5.5 km
Cafe Bahar By Khuzaan,https://www.zomato.com/pune/cafe-bahar-by-khuzaan-salunkhe-vihar-road/info,"Cafe, Salad, Sandwich, Parsi, Desserts, Beverages","₹1,200 for two","Salunkhe Vihar Road, Pune",6.7 km
Poetry by Love and Cheesecake,https://www.zomato.com/pune/poetry-by-love-and-cheesecake-balewadi/info,"Bakery, Desserts, Cafe, Continental, Sandwich, Beverages, Finger Food, Coffee","₹1,800 for two","Balewadi, Pune",10.3 km
Salt - Indian Restaurant Bar & Grill,https://www.zomato.com/pune/salt-indian-restaurant-bar-grill-kalyani-nagar/info,"North Indian, Biryani, Kebab","₹1,500 for two","Kalyani Nagar, Pune",6.1 km
Barbeque Nation,https://www.zomato.com/pune/barbeque-nation-hadapsar/info,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹2,100 for two","Hadapsar, Pune
Closes in 1 hour 6 minutes",8.3 km
Tony Dhaba NXT,https://www.zomato.com/pune/tony-dhaba-nxt-hinjawadi/info,"North Indian, Mughlai, Biryani, Chinese, Seafood, Kebab","₹1,200 for two","Hinjawadi, Pune",16.7 km
